id,Latitude,Longitude,Temperature,Salinity,Pressure,Time,argo_id,Cycle
241,41.071,164.112,12.724,33.766,40.2,,1,3.0
242,41.071,164.112,11.898,33.842,44.4,,1,3.0
243,41.071,164.112,11.017,33.867,50.4,,1,3.0
244,41.071,164.112,10.509,33.906,54.5,,1,3.0
245,41.071,164.112,10.117,33.941,60.3,,1,3.0
246,41.071,164.112,9.743,33.969,64.9,,1,3.0
247,41.071,164.112,9.507,33.956,69.7,,1,3.0
248,41.071,164.112,9.28,33.948,74.3,,1,3.0
249,41.071,164.112,9.246,33.974,80.6,,1,3.0
250,41.071,164.112,9.255,33.997,85.3,,1,3.0
251,41.071,164.112,8.966,33.962,90.0,,1,3.0
252,41.071,164.112,8.664,33.927,94.7,,1,3.0
253,41.071,164.112,8.607,33.922,99.4,,1,3.0
254,41.071,164.112,8.392,33.904,104.1,,1,3.0
255,41.071,164.112,8.353,33.908,110.4,,1,3.0
256,41.071,164.112,8.175,33.895,115.2,,1,3.0
257,41.071,164.112,8.098,33.885,120.1,,1,3.0
258,41.071,164.112,8.016,33.883,124.9,,1,3.0
259,41.071,164.112,8.01,33.881,130.0,,1,3.0
260,41.071,164.112,7.935,33.874,135.0,,1,3.0
261,41.071,164.112,7.958,33.884,140.1,,1,3.0
262,41.071,164.112,7.964,33.899,145.2,,1,3.0
263,41.071,164.112,7.965,33.902,150.2,,1,3.0
264,41.071,164.112,7.929,33.9,153.8,,1,3.0
265,41.071,164.112,7.808,33.887,159.0,,1,3.0
266,41.071,164.112,7.763,33.887,164.3,,1,3.0
267,41.071,164.112,7.668,33.881,169.5,,1,3.0
268,41.071,164.112,7.646,33.883,174.9,,1,3.0
269,41.071,164.112,7.567,33.876,180.1,,1,3.0
270,41.071,164.112,7.511,33.87,185.3,,1,3.0
271,41.071,164.112,7.478,33.868,190.4,,1,3.0
272,41.071,164.112,7.436,33.87,195.3,,1,3.0
273,41.071,164.112,7.218,33.847,200.3,,1,3.0
274,41.071,164.112,7.032,33.826,209.9,,1,3.0
275,41.071,164.112,6.665,33.785,220.1,,1,3.0
276,41.071,164.112,6.241,33.74,230.8,,1,3.0
277,41.071,164.112,6.032,33.723,240.8,,1,3.0
278,41.071,164.112,6.516,33.866,250.3,,1,3.0
279,41.071,164.112,6.711,33.917,259.9,,1,3.0
280,41.071,164.112,6.366,33.884,269.7,,1,3.0
281,41.071,164.112,6.161,33.878,279.9,,1,3.0
282,41.071,164.112,6.035,33.887,290.1,,1,3.0
283,41.071,164.112,6.033,33.917,300.2,,1,3.0
284,41.071,164.112,5.914,33.912,310.3,,1,3.0
285,41.071,164.112,5.477,33.883,320.6,,1,3.0
286,41.071,164.112,5.479,33.909,331.1,,1,3.0
287,41.071,164.112,5.69,33.97,340.2,,1,3.0
288,41.071,164.112,5.668,33.979,350.9,,1,3.0
289,41.071,164.112,5.565,33.974,361.0,,1,3.0
290,41.071,164.112,5.409,33.969,370.0,,1,3.0
291,41.071,164.112,5.358,33.982,380.6,,1,3.0
292,41.071,164.112,5.294,33.983,389.8,,1,3.0
293,41.071,164.112,5.298,34.0,400.5,,1,3.0
294,41.071,164.112,5.192,34.014,410.1,,1,3.0
295,41.071,164.112,5.144,34.017,421.0,,1,3.0
296,41.071,164.112,5.097,34.021,430.5,,1,3.0
297,41.071,164.112,5.007,34.025,439.9,,1,3.0
298,41.071,164.112,4.908,34.033,450.9,,1,3.0
299,41.071,164.112,4.856,34.038,460.0,,1,3.0
300,41.071,164.112,4.748,34.044,470.8,,1,3.0
301,41.071,164.112,4.715,34.045,480.0,,1,3.0
302,41.071,164.112,4.63,34.064,490.6,,1,3.0
303,41.071,164.112,4.604,34.07,500.0,,1,3.0
304,41.071,164.112,4.527,34.095,519.5,,1,3.0
305,41.071,164.112,4.445,34.106,540.1,,1,3.0
306,41.071,164.112,4.307,34.116,560.1,,1,3.0
307,41.071,164.112,4.231,34.134,581.1,,1,3.0
308,41.071,164.112,4.198,34.15,600.7,,1,3.0
309,41.071,164.112,4.105,34.164,620.5,,1,3.0
310,41.071,164.112,4.008,34.173,640.1,,1,3.0
311,41.071,164.112,3.984,34.188,659.4,,1,3.0
312,41.071,164.112,3.834,34.184,680.2,,1,3.0
313,41.071,164.112,3.683,34.191,700.2,,1,3.0
314,41.071,164.112,3.663,34.199,720.4,,1,3.0
315,41.071,164.112,3.573,34.218,740.2,,1,3.0
316,41.071,164.112,3.524,34.226,760.5,,1,3.0
317,41.071,164.112,3.474,34.248,779.4,,1,3.0
318,41.071,164.112,3.435,34.266,800.1,,1,3.0
319,41.071,164.112,3.395,34.276,820.2,,1,3.0
320,41.071,164.112,3.329,34.281,840.3,,1,3.0
321,41.071,164.112,3.302,34.295,859.8,,1,3.0
322,41.071,164.112,3.268,34.305,880.0,,1,3.0
323,41.071,164.112,3.249,34.315,899.3,,1,3.0
324,41.071,164.112,3.22,34.33,920.6,,1,3.0
325,41.071,164.112,3.153,34.339,939.7,,1,3.0
326,41.071,164.112,3.113,34.348,961.0,,1,3.0
327,41.071,164.112,3.086,34.352,979.6,,1,3.0
328,41.071,164.112,3.043,34.358,1000.1,,1,3.0
329,41.071,164.112,2.983,34.382,1050.5,,1,3.0
330,41.071,164.112,2.909,34.397,1100.1,,1,3.0
331,41.071,164.112,2.797,34.414,1150.3,,1,3.0
332,41.071,164.112,2.729,34.429,1199.6,,1,3.0
333,41.071,164.112,2.636,34.446,1250.7,,1,3.0
334,41.071,164.112,2.569,34.459,1301.0,,1,3.0
335,41.071,164.112,2.488,34.475,1350.5,,1,3.0
336,41.071,164.112,2.442,34.484,1399.6,,1,3.0
337,41.071,164.112,2.387,34.494,1450.2,,1,3.0
338,41.071,164.112,2.324,34.504,1499.6,,1,3.0
339,41.071,164.112,2.282,34.515,1551.2,,1,3.0
340,41.071,164.112,2.239,34.524,1599.7,,1,3.0
341,41.071,164.112,2.185,34.533,1650.5,,1,3.0
342,41.071,164.112,2.138,34.541,1699.8,,1,3.0
343,41.071,164.112,2.1,34.548,1749.8,,1,3.0
344,41.071,164.112,2.062,34.555,1800.3,,1,3.0
345,41.071,164.112,2.038,34.561,1850.4,,1,3.0
346,41.071,164.112,2.01,34.567,1900.3,,1,3.0
347,41.071,164.112,1.977,34.574,1949.7,,1,3.0
348,41.071,164.112,1.947,34.579,2000.2,,1,3.0
349,41.446,164.368,19.899,33.827,0.7,,1,4.0
350,41.446,164.368,19.882,33.835,5.1,,1,4.0
351,41.446,164.368,19.879,33.835,10.3,,1,4.0
352,41.446,164.368,19.879,33.835,14.6,,1,4.0
353,41.446,164.368,19.885,33.829,21.5,,1,4.0
354,41.446,164.368,18.937,33.757,25.9,,1,4.0
355,41.446,164.368,14.712,33.703,30.7,,1,4.0
356,41.446,164.368,12.141,33.606,35.4,,1,4.0
357,41.446,164.368,10.835,33.61,41.0,,1,4.0
358,41.446,164.368,10.126,33.756,45.7,,1,4.0
359,41.446,164.368,10.522,34.073,50.5,,1,4.0
360,41.446,164.368,10.297,34.09,55.9,,1,4.0
361,41.446,164.368,9.945,34.056,60.1,,1,4.0
362,41.446,164.368,9.837,34.057,64.8,,1,4.0
363,41.446,164.368,9.639,34.034,69.3,,1,4.0
364,41.446,164.368,9.522,34.025,75.6,,1,4.0
365,41.446,164.368,9.604,34.065,80.3,,1,4.0
366,41.446,164.368,9.566,34.061,84.9,,1,4.0
367,41.446,164.368,9.419,34.038,89.4,,1,4.0
368,41.446,164.368,8.889,33.938,95.3,,1,4.0
369,41.446,164.368,8.492,33.88,99.7,,1,4.0
370,41.446,164.368,7.541,33.747,104.3,,1,4.0
371,41.446,164.368,7.297,33.712,110.7,,1,4.0
372,41.446,164.368,7.554,33.765,115.5,,1,4.0
373,41.446,164.368,7.445,33.755,120.4,,1,4.0
374,41.446,164.368,7.222,33.736,125.3,,1,4.0
375,41.446,164.368,7.325,33.755,130.0,,1,4.0
376,41.446,164.368,7.291,33.755,135.0,,1,4.0
377,41.446,164.368,7.207,33.748,139.9,,1,4.0
378,41.446,164.368,7.297,33.776,144.8,,1,4.0
379,41.446,164.368,7.524,33.827,149.8,,1,4.0
380,41.446,164.368,7.51,33.836,154.9,,1,4.0
381,41.446,164.368,7.584,33.852,159.9,,1,4.0
382,41.446,164.368,7.576,33.849,165.0,,1,4.0
383,41.446,164.368,7.424,33.833,170.0,,1,4.0
384,41.446,164.368,7.344,33.823,175.0,,1,4.0
385,41.446,164.368,7.295,33.821,180.0,,1,4.0
386,41.446,164.368,7.148,33.812,184.8,,1,4.0
387,41.446,164.368,7.126,33.814,189.9,,1,4.0
388,41.446,164.368,7.067,33.809,194.9,,1,4.0
389,41.446,164.368,7.029,33.811,199.9,,1,4.0
390,41.446,164.368,6.894,33.803,210.0,,1,4.0
391,41.446,164.368,6.848,33.803,219.9,,1,4.0
392,41.446,164.368,6.231,33.725,230.3,,1,4.0
393,41.446,164.368,6.222,33.741,240.1,,1,4.0
394,41.446,164.368,6.178,33.747,250.4,,1,4.0
395,41.446,164.368,6.089,33.75,260.6,,1,4.0
